Image_ID,Class
0.jpg,1
1.jpg,1
2.jpg,1
3.jpg,1
4.jpg,1
5.jpg,1
6.jpg,1
7.jpg,1
8.jpg,1
9.jpg,1
10.jpg,0
11.jpg,0
12.jpg,0
13.jpg,0
14.jpg,0
15.jpg,0
16.jpg,1
17.jpg,1
18.jpg,1
19.jpg,1
20.jpg,1
21.jpg,0
22.jpg,0
23.jpg,0
24.jpg,0
25.jpg,0
26.jpg,0
27.jpg,0
28.jpg,0
29.jpg,1
30.jpg,1
31.jpg,1
32.jpg,1
33.jpg,0
34.jpg,0
35.jpg,0
36.jpg,0
37.jpg,0
38.jpg,0
39.jpg,0
40.jpg,0
41.jpg,0
42.jpg,0
43.jpg,0
44.jpg,0
45.jpg,0
46.jpg,1
47.jpg,1
48.jpg,1
49.jpg,1
50.jpg,1
51.jpg,0
52.jpg,0
53.jpg,0
54.jpg,0
55.jpg,0
56.jpg,0
57.jpg,0
58.jpg,0
59.jpg,0
60.jpg,0
61.jpg,0
62.jpg,0
63.jpg,0
64.jpg,0
65.jpg,0
66.jpg,1
67.jpg,1
68.jpg,1
69.jpg,1
70.jpg,0
71.jpg,0
72.jpg,0
73.jpg,0
74.jpg,1
75.jpg,1
76.jpg,1
77.jpg,1
78.jpg,1
79.jpg,0
80.jpg,0
81.jpg,0
82.jpg,0
83.jpg,0
84.jpg,0
85.jpg,0
86.jpg,0
87.jpg,1
88.jpg,1
89.jpg,1
90.jpg,0
91.jpg,0
92.jpg,0
93.jpg,0
94.jpg,1
95.jpg,1
96.jpg,1
97.jpg,1
98.jpg,1
99.jpg,0
100.jpg,0
101.jpg,0
102.jpg,0
103.jpg,0
104.jpg,1
105.jpg,1
106.jpg,1
107.jpg,1
108.jpg,1
109.jpg,1
110.jpg,1
111.jpg,0
112.jpg,0
113.jpg,0
114.jpg,1
115.jpg,1
116.jpg,1
117.jpg,1
118.jpg,1
119.jpg,1
120.jpg,1
121.jpg,1
122.jpg,1
123.jpg,0
124.jpg,0
125.jpg,0
126.jpg,1
127.jpg,1
128.jpg,1
129.jpg,1
130.jpg,1
131.jpg,1
132.jpg,1
133.jpg,1
134.jpg,1
135.jpg,1
136.jpg,1
137.jpg,0
138.jpg,0
139.jpg,0
140.jpg,1
141.jpg,1
142.jpg,1
143.jpg,1
144.jpg,1
145.jpg,1
146.jpg,1
147.jpg,1
148.jpg,1
149.jpg,0
150.jpg,0
151.jpg,0
152.jpg,0
153.jpg,0
154.jpg,0
155.jpg,0
156.jpg,1
157.jpg,1
158.jpg,1
159.jpg,1
160.jpg,1
161.jpg,1
162.jpg,1
163.jpg,1
164.jpg,0
165.jpg,0
166.jpg,0
167.jpg,0
168.jpg,0
169.jpg,0
170.jpg,0
171.jpg,0
172.jpg,0
173.jpg,0
174.jpg,0
175.jpg,1
176.jpg,1
177.jpg,1
178.jpg,1
179.jpg,1
180.jpg,1
181.jpg,1
182.jpg,1
183.jpg,1
184.jpg,1
185.jpg,1
186.jpg,1
187.jpg,1
188.jpg,1
189.jpg,1
190.jpg,1
191.jpg,1
192.jpg,1
193.jpg,1
194.jpg,1
195.jpg,1
196.jpg,1
197.jpg,1
198.jpg,1
199.jpg,1
200.jpg,1
201.jpg,1
202.jpg,1
203.jpg,1
204.jpg,1
205.jpg,1
206.jpg,0
207.jpg,0
208.jpg,0
209.jpg,0
210.jpg,0
211.jpg,0
212.jpg,0
213.jpg,0
214.jpg,0
215.jpg,0
216.jpg,1
217.jpg,1
218.jpg,1
219.jpg,1
220.jpg,1
221.jpg,1
